OPEID6,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,COSTT4_A,income_midpoints
3453.0,University of South Carolina-Lancaster,5930.0,7693.0,10460.0,12986.0,13469.0,6785.0,8879.0,18214.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3454.0,University of South Carolina-Salkehatchie,9181.0,10408.0,13975.0,16845.0,17775.0,9547.0,12364.0,20434.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3426.0,University of South Carolina-Sumter,6719.0,7120.0,11043.0,14071.0,12702.0,6840.0,8570.0,18063.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4927.0,University of South Carolina-Union,8510.0,9695.0,12746.0,15432.0,15979.0,8980.0,11051.0,19496.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3451.0,Coastal Carolina University,9458.0,10007.0,13134.0,17496.0,17894.0,9654.0,11488.0,25333.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3446.0,South Carolina State University,16490.0,17938.0,19080.0,20665.0,23042.0,16919.0,18322.0,29886.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
6951.0,University of South Carolina-Upstate,10577.0,11483.0,14900.0,19180.0,19939.0,10884.0,13029.0,24523.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3994.0,Spartanburg Community College,5330.0,5522.0,6281.0,7688.0,8983.0,5390.0,5862.0,14973.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3995.0,Central Carolina Technical College,4360.0,4385.0,5183.0,5277.0,,4366.0,4744.0,12354.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4926.0,Tri-County Technical College,1436.0,2823.0,5110.0,6530.0,7912.0,1933.0,3886.0,16442.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4920.0,Trident Technical College,-982.0,-377.0,1191.0,2698.0,4111.0,-784.0,74.0,11891.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9322.0,Williamsburg Technical College,7164.0,10695.0,11766.0,,,7753.0,11052.0,15140.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3456.0,Winthrop University,13485.0,14414.0,16941.0,18866.0,21617.0,13909.0,15520.0,29729.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3996.0,York Technical College,111.0,1584.0,3632.0,6089.0,9111.0,526.0,2490.0,14972.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3459.0,Black Hills State University,13375.0,14864.0,17233.0,18935.0,19635.0,13987.0,16280.0,20843.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3463.0,Dakota State University,14590.0,15851.0,18216.0,19468.0,19779.0,15237.0,17415.0,22651.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5309.0,Lake Area Technical College,10663.0,11275.0,14720.0,16423.0,16687.0,10959.0,13342.0,17506.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
8284.0,Mitchell Technical College,10087.0,11563.0,13411.0,15800.0,16256.0,10617.0,12619.0,16338.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3466.0,Northern State University,13927.0,14632.0,17815.0,19885.0,20081.0,14180.0,16407.0,22455.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
14659.0,Oglala Lakota College,3396.0,4143.0,6933.0,,,3620.0,5031.0,11113.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3470.0,South Dakota School of Mines and Technology,16154.0,17404.0,21382.0,22665.0,22983.0,16701.0,19835.0,25988.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3471.0,South Dakota State University,13746.0,14535.0,17639.0,19922.0,19922.0,14079.0,16414.0,22447.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
21437.0,Sinte Gleska University,16685.0,15867.0,15881.0,19009.0,,16594.0,15874.0,21154.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
22773.0,Sisseton Wahpeton College,3368.0,4240.0,5031.0,9744.0,9777.0,3552.0,4636.0,10077.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
7764.0,Southeast Technical College,15748.0,16439.0,16676.0,17410.0,19061.0,15991.0,16570.0,20956.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3474.0,University of South Dakota,15653.0,16813.0,18725.0,21006.0,21482.0,16149.0,17920.0,23178.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10170.0,Western Dakota Technical College,10799.0,12935.0,15320.0,17444.0,18555.0,11235.0,14468.0,18855.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5358.0,Tennessee College of Applied Technology-Athens,2734.0,3928.0,4363.0,6111.0,8415.0,3121.0,4089.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3478.0,Austin Peay State University,13463.0,13850.0,17292.0,19719.0,20780.0,13588.0,15695.0,25804.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3998.0,Chattanooga State Community College,5903.0,6173.0,7550.0,9524.0,8663.0,5977.0,6856.0,13167.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3999.0,Cleveland State Community College,8169.0,8116.0,10170.0,11429.0,12014.0,8151.0,8943.0,15600.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3483.0,Columbia State Community College,5018.0,8238.0,8422.0,8531.0,,6260.0,8330.0,13129.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5280.0,Tennessee College of Applied Technology-Covington,6932.0,,8298.0,,,6932.0,8298.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
7782.0,Tennessee College of Applied Technology-Dickson,7017.0,7699.0,8296.0,10372.0,,7222.0,7997.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
6835.0,Dyersburg State Community College,4628.0,5072.0,6658.0,9187.0,10345.0,4780.0,5709.0,12606.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3487.0,East Tennessee State University,10101.0,11109.0,14498.0,18154.0,18666.0,10401.0,12699.0,24278.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5281.0,Tennessee College of Applied Technology-Elizabethton,5563.0,8812.0,9683.0,,,6087.0,9247.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10326.0,Tennessee College of Applied Technology-Harriman,6281.0,10735.0,5386.0,,,7172.0,8060.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5282.0,Tennessee College of Applied Technology-Hartsville,8650.0,7205.0,12448.0,8336.0,,8237.0,9827.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5356.0,Tennessee College of Applied Technology-Hohenwald,9912.0,11028.0,9211.0,,12502.0,10135.0,10120.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10700.0,Tennessee College of Applied Technology-Jacksboro,2873.0,2473.0,,,,2842.0,2473.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4937.0,Jackson State Community College,7904.0,7996.0,9629.0,8832.0,9736.0,7930.0,8682.0,15106.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5353.0,Tennessee College of Applied Technology-Livingston,2756.0,5939.0,9196.0,,,4348.0,6211.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3504.0,The University of Tennessee Southern,12918.0,13222.0,17797.0,19757.0,20595.0,13027.0,15421.0,26042.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5352.0,Tennessee College of Applied Technology-McKenzie,667.0,1046.0,4503.0,,,835.0,2967.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5360.0,Tennessee College of Applied Technology-Memphis,7601.0,8150.0,10946.0,,11063.0,7738.0,8709.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3509.0,University of Memphis,10707.0,11924.0,14696.0,17608.0,18087.0,11101.0,13237.0,23875.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3510.0,Middle Tennessee State University,8765.0,10588.0,13829.0,17776.0,17758.0,9486.0,12297.0,21922.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5351.0,Tennessee College of Applied Technology-Morristown,8882.0,5441.0,11396.0,12265.0,,8595.0,10545.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
